actual_arrival_date,assignment,audit_date,country_of_origin,date_issued,description,eccn_code,entryid,eu_dual_use_code,expected_arrival_date,gdrivefolder,issue_version,jobcard,last_jobcard_comment,location,manufacturer_serialno,name,office,order_promise_date,patch,purchase_order,serialno,status,vendor,work_order
2017-08-07,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18073,NLR,2017-08-04,0B8g1PtZpbs-qMHc5ZXUyQUVlX0U,1.0,11068qSVrhHPXJLhStlVqEEKe7ZnBEh_Ae9XfMYh0dAA,"<p style="""">Debug inspection - chip U1 had previously tried to be replaced with heat causing the board to buckle, unsuitable for flight.</p>",MANUFACTURING,,XRM3100,UK,2017-10-06 00:00:00+00:00,0,2170028,RM3K1043,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-08-07,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18076,NLR,2017-08-04,0B8g1PtZpbs-qRXNvRVRnX1E0Z0E,1.0,1Xg9VUzsua5bv5j6nbe3GyYPGuYqXiPBSBcSzLNz5nTI,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-12-01 00:00:00+00:00,0,2170028,RM3K1046,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-04-12,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18060,NLR,2017-04-13,0B8g1PtZpbs-qVTA1MDQ1N3F4a0k,1.0,1FVVK5EK68IU0w1JDr1EZDSml1GDinvNjuFIjyeAFjtg,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-04-06 00:00:00+00:00,0,2170028,RM3K1030,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-07-27,,,GBR,2017-07-12,"Lemur-2 Magnetometer Breakout Board, RIGID-FLEX-RIGID",9A515.X,18931,NLR,2017-08-03,0B8g1PtZpbs-qRWF5Y2tXVVM5Ym8,2.1.0,1xj5dk4MSC4bjZ5ES4pizk1FbU7Xgzf9JVa3hm9kx22s,"<p style="""">Debug inspection - connector looks to be intact. FM needed to test before putting back to FLIGHT</p>",MANUFACTURING,HMK17/29 33055/1 SN013,MAGBOB,UK,2017-08-03 00:00:00+00:00,0,2170105,MGBOB095,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-07-27,,,GBR,2017-07-12,"Lemur-2 Magnetometer Breakout Board, RIGID-FLEX-RIGID",9A515.X,18925,NLR,2017-08-03,0B8g1PtZpbs-qbWFENWFlUVpXbzQ,2.1.0,15R3J7QrLWqC3ozS8C-R_CXsZWIdD5QPubAtH7YxuI-0,"<p style="""">Debug inspection - connector still looks to be intact. FM required to test before putting back to FLIGHT</p>",MANUFACTURING,HMK17/29 33055/1 SN004,MAGBOB,UK,2017-08-03 00:00:00+00:00,0,2170105,MGBOB089,FAULTY,HALLMARK ELECTRONICS LIMITED,
2018-01-08,,,GBR,2017-11-20,Deployment Switch Left,9A515.x,24652,NLR,2018-01-08,1sqyEPdi3uzMXo1NJ5p7cufe9Zu9tZ1Cc,1.1,1x2TpfzUg-DJDja7IENzsxtMGWJPz4T5duOj8eIfOgXI,<p>Workflow task <strong> Incoming Inspection</strong> set to <strong>failed</strong>. Comment: Failed due to switch not clicking and when carrying out a switch test when the switch is open it is measuring 3.0 ohms when the rest are measuring 0.2 ohms</p>,RMA,,DEPSWL,UK,2017-12-22 00:00:00+00:00,0,2170355,DESPL198,FAULTY,EUROPEAN CIRCUITS LIMITED,
2017-03-27,,,,2017-03-06,"086 FEP FORMABLE COAX CABLE, 190MM, RA-MCX TO RA-SMA",9A515.x,17929,NLR,2017-04-03,0B8g1PtZpbs-qeWllQkNMQzJ3R00,1.0,1UG3LTxYZw1pVHy9MKmhAW_ek4_RQRMlgW3cMgtTSarw,"<p><strong>Checked-out</strong> to <strong>ENGINEERING</strong> for Parts Request <a href=""/inventory/parts_requests/0000012"">0000012</a></p>",ENGINEERING,,COAX0024,UK,2017-04-03 00:00:00+00:00,0,2170020,C0240023,FAULTY,COAX CONNECTORS,
2017-08-16,,,,2017-07-28,"086 FEP FORMABLE COAX CABLE, 230MM, RA-MCX TO STR-MCX",9A515.x,19555,NLR,2017-08-17,0B8g1PtZpbs-qaVB0RFE0blQyeU0,1.0,1DsGSh2MeqEr1xupP65KkJja5Kz5EtNCy4L5lciTgX7E,"<p><strong>Checked-out</strong> to <strong>ENGINEERING</strong> for Parts Request <a href=""/inventory/parts_requests/0000011"">0000011</a></p>",ENGINEERING,,COAX0021,UK,2017-08-11 00:00:00+00:00,0,2170131,C0210039,FAULTY,COAX CONNECTORS,
2017-05-02,,,,2017-03-13,"086 FEP FORMABLE COAX CABLE, 230MM, RA-MCX TO STR-MCX",9A515.x,17990,NLR,2017-05-01,0B8g1PtZpbs-qSzM2Z2RrQWZuNU0,1.0,17yODEBfpuTg1yLdasJBgusO8xqDIhYuh5ln5Iz2WDac,"<p><strong>Checked-out</strong> to <strong>ENGINEERING</strong> for Parts Request <a href=""/inventory/parts_requests/0000011"">0000011</a></p>",ENGINEERING,,COAX0021,UK,2017-05-01 00:00:00+00:00,0,2170020,C0210029,FAULTY,COAX CONNECTORS,
2017-07-14,,,ABW,2017-06-22,Flash S-band Radio RF PCB,9A515.x,18733,nlr,2017-07-14,0B8g1PtZpbs-qQ0dfc1FiUUpJQTQ,1.2.1,1lISwoYcRnqcxhsdEc9Duq3uVT0msVtwmLCQvcVZtZgE,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000025"">0000025</a></p>",MANUFACTURING,,FLASHRF,UK,2017-07-14 00:00:00+00:00,0,2170091,FLRF0145,FAULTY,HALLMARK ELECTRONICS LIMITED,
